Resourse,Date,Staff,Stuff
3, 28-12-2020, 122, Anechka
4, 30-05-2020, 105, Annushka
6, 14-12-2020, 96, Annushka
3, 23-05-2020, 112, Anya
3, 18-10-2020, 105, Anya
6, 16-01-2020, 104, Anya
3, 31-08-2020, 94, Anya
3, 26-01-2020, 126, Anna
2, 11-04-2020, 111, Anna
2, 5-12-2020, 94, Anuta
5, 13-06-2020, 109, Anna
3, 18-11-2020, 96, Anna
3, 15-07-2020, 106, Anya
3, 26-12-2020, 106, Annushka
6, 29-12-2020, 108, Anechka
2, 17-03-2020, 86, Annushka
2, 21-09-2020, 113, Anna
3, 19-06-2020, 108, Anuta
6, 27-08-2020, 112, Anuta
6, 14-06-2020, 128, Anya
4, 25-09-2020, 98, Anechka
5, 19-08-2020, 127, Anuta
3, 14-05-2020, 91, Anuta
6, 21-12-2020, 80, Anechka
4, 10-05-2020, 95, Anya
3, 18-12-2020, 100, Anechka
5, 3-11-2020, 83, Anuta
5, 26-05-2020, 99, Anya
5, 17-03-2020, 118, Anechka
5, 16-09-2020, 84, Anuta
3, 22-06-2020, 89, Anuta
6, 15-08-2020, 85, Anechka
4, 12-09-2020, 101, Annushka
4, 1-02-2020, 111, Anya
4, 26-09-2020, 110, Anna
6, 11-06-2020, 125, Anechka
4, 5-09-2020, 119, Annushka
3, 27-09-2020, 109, Anechka
2, 13-04-2020, 105, Annushka
4, 30-09-2020, 124, Anna
6, 20-03-2020, 83, Anuta
3, 25-04-2020, 93, Anna
3, 4-08-2020, 83, Annushka
6, 20-04-2020, 86, Anechka
2, 19-12-2020, 105, Anechka
3, 12-05-2020, 129, Anechka
2, 25-02-2020, 103, Anna
4, 20-03-2020, 111, Anuta
5, 2-09-2020, 105, Anuta
3, 8-09-2020, 106, Annushka
5, 24-12-2020, 113, Anuta
6, 21-04-2020, 128, Annushka
6, 14-09-2020, 93, Anna
4, 8-09-2020, 97, Anna
2, 20-08-2020, 102, Anuta
4, 19-07-2020, 130, Annushka
4, 28-01-2020, 100, Anya
5, 4-01-2020, 125, Anuta
5, 18-08-2020, 130, Anuta
2, 23-03-2020, 101, Anechka
4, 23-06-2020, 87, Anuta
6, 4-08-2020, 101, Annushka
6, 17-03-2020, 126, Anna
5, 18-03-2020, 83, Annushka
3, 6-09-2020, 112, Anuta
2, 23-12-2020, 112, Anuta
4, 14-12-2020, 109, Anechka
5, 8-03-2020, 107, Anechka
2, 4-11-2020, 105, Annushka
6, 19-10-2020, 108, Anya
5, 2-12-2020, 84, Anna
6, 30-06-2020, 82, Anechka
3, 10-07-2020, 124, Anna
3, 14-03-2020, 122, Anna
5, 25-05-2020, 118, Anna
4, 14-05-2020, 90, Anna
6, 3-12-2020, 104, Annushka
4, 27-02-2020, 122, Anya
4, 23-08-2020, 114, Anuta
4, 6-04-2020, 89, Anna
3, 13-12-2020, 118, Anuta
4, 31-10-2020, 104, Anya
5, 28-09-2020, 88, Annushka
5, 3-03-2020, 88, Anuta
4, 31-10-2020, 117, Anuta
6, 12-08-2020, 94, Anuta
3, 22-12-2020, 101, Anuta
3, 20-10-2020, 125, Anya
6, 24-06-2020, 105, Annushka
2, 4-11-2020, 124, Annushka
3, 24-03-2020, 107, Anna
4, 18-02-2020, 111, Anechka
3, 7-04-2020, 98, Annushka
5, 19-02-2020, 108, Anya
4, 28-10-2020, 107, Anna
2, 29-05-2020, 119, Anna
5, 20-12-2020, 114, Anuta
4, 11-01-2020, 116, Annushka
3, 1-06-2020, 126, Anna
5, 26-10-2020, 120, Anya
